Date,Apple,Google,Microsoft
6/7/2016,24.75749969,36.55450058,52.09999847
6/8/2016,24.73500061,37.14649963,52.04000092
6/9/2016,24.91250038,37.12599945,51.61999893
6/10/2016,24.70750046,36.65950012,51.47999954
6/13/2016,24.33499908,36.59400177,50.13999939
6/14/2016,24.36499977,36.66249847,49.83000183
6/15/2016,24.28499985,36.60950089,49.68999863
6/16/2016,24.38750076,36.21250153,50.38999939
6/17/2016,23.83250046,35.21250153,50.13000107
6/20/2016,23.77499962,35.30649948,50.06999969
6/21/2016,23.97750092,35.44400024,51.18999863
6/22/2016,23.88750076,35.52349854,50.99000168
6/23/2016,24.02499962,35.74349976,51.90999985
6/24/2016,23.35000038,34.25999832,49.83000183
6/27/2016,23.01000023,34.05699921,48.43000031
6/28/2016,23.39749908,34.56299973,49.43999863
6/29/2016,23.60000038,34.7594986,50.54000092
6/30/2016,23.89999962,35.17649841,51.16999817
7/1/2016,23.97249985,35.51250076,51.15999985
7/5/2016,23.74749947,35.24449921,51.16999817
7/6/2016,23.88249969,35.44850159,51.38000107
7/7/2016,23.98500061,35.36299896,51.38000107
7/8/2016,24.17000008,35.88899994,52.29999924
7/11/2016,24.24500084,36.36000061,52.59000015
7/12/2016,24.35499954,36.62549973,53.20999908
7/13/2016,24.21750069,36.47399902,53.50999832
7/14/2016,24.69750023,36.79000092,53.74000168
7/15/2016,24.69499969,36.78150177,53.70000076
7/18/2016,24.95750046,37.65999985,53.95999908
7/19/2016,24.96750069,37.67050171,53.09000015
7/20/2016,24.98999977,37.85400009,55.90999985
7/21/2016,24.85750008,37.72050095,55.79999924
7/22/2016,24.66500092,37.9640007,56.56999969
7/25/2016,24.33499908,37.87599945,56.72999954
7/26/2016,24.16749954,37.88249969,56.75999832
7/27/2016,25.73749924,38.0984993,56.18999863
7/28/2016,26.08499908,38.29199982,56.20999908
7/29/2016,26.05249977,39.56700134,56.68000031
8/1/2016,26.51250076,40.04700089,56.58000183
8/2/2016,26.12000084,40.00600052,56.58000183
8/3/2016,26.44750023,39.94599915,56.97000122
8/4/2016,26.46750069,39.86249924,57.38999939
8/5/2016,26.87000084,40.3465004,57.95999908
8/8/2016,27.09250069,40.26150131,58.06000137
8/9/2016,27.20249939,40.37400055,58.20000076
8/10/2016,27,40.42449951,58.02000046
8/11/2016,26.98250008,40.40999985,58.29999924
8/12/2016,27.04500008,40.35250092,57.93999863
8/15/2016,27.37000084,40.29800034,58.11999893
8/16/2016,27.34499931,40.05950165,57.43999863
8/17/2016,27.30500031,40.27099991,57.56000137
8/18/2016,27.27000046,40.13750076,57.59999847
8/19/2016,27.34000015,39.98249817,57.61999893
8/22/2016,27.12750053,39.84749985,57.66999817
8/23/2016,27.21249962,39.82949829,57.88999939
8/24/2016,27.00749969,39.68000031,57.95000076
8/25/2016,26.89249992,39.56499863,58.16999817
8/26/2016,26.73500061,39.6609993,58.02999878
8/29/2016,26.70499992,39.79100037,58.09999847
8/30/2016,26.5,39.59600067,57.88999939
8/31/2016,26.52499962,39.49250031,57.45999908
9/1/2016,26.68250084,39.56999969,57.59000015
9/2/2016,26.93250084,39.84349823,57.66999817
9/6/2016,26.92499924,40.40100098,57.61000061
9/7/2016,27.09000015,40.3995018,57.65999985
9/8/2016,26.37999916,40.14199829,57.43000031
9/9/2016,25.78249931,39.42399979,56.20999908
9/12/2016,26.36000061,39.94100189,57.04999924
9/13/2016,26.98749924,39.43600082,56.52999878
9/14/2016,27.94249916,39.52299881,56.25999832
9/15/2016,28.89249992,40.06150055,57.18999863
9/16/2016,28.72999954,39.89849854,57.25
9/19/2016,28.39500046,39.76950073,56.93000031
9/20/2016,28.39249992,39.98899841,56.81000137
9/21/2016,28.38750076,40.25149918,57.75999832
9/22/2016,28.65500069,40.79750061,57.81999969
9/23/2016,28.17749977,40.7480011,57.43000031
9/26/2016,28.21999931,40.13249969,56.90000153
9/27/2016,28.27249908,40.53649902,57.95000076
9/28/2016,28.48749924,40.50299835,58.02999878
9/29/2016,28.04500008,40.13199997,57.40000153
9/30/2016,28.26250076,40.20299911,57.59999847
10/3/2016,28.12999916,40.01900101,57.41999817
10/4/2016,28.25,40.13949966,57.24000168
10/5/2016,28.26250076,40.06150055,57.63999939
10/6/2016,28.47249985,40.15399933,57.74000168
10/7/2016,28.51499939,40.03549957,57.79999924
10/10/2016,29.01250076,40.70849991,58.04000092
10/11/2016,29.07500076,40.47850037,57.18999863
10/12/2016,29.33499908,40.58850098,57.11000061
10/13/2016,29.24500084,40.20399857,56.91999817
10/14/2016,29.40749931,40.22999954,57.41999817
10/17/2016,29.38750076,40.34199905,57.22000122
10/18/2016,29.36750031,41.07450104,57.65999985
10/19/2016,29.28000069,41.34199905,57.52999878
10/20/2016,29.26499939,41.08150101,57.25
10/21/2016,29.14999962,41.20299911,59.65999985
10/24/2016,29.41250038,41.78699875,61
10/25/2016,29.5625,41.42750168,60.99000168
10/26/2016,28.89749908,41.10499954,60.63000107
10/27/2016,28.62000084,40.86750031,60.09999847
10/28/2016,28.43000031,40.97800064,59.86999893
10/31/2016,28.38500023,40.49499893,59.91999817
11/1/2016,27.87249947,40.27399826,59.79999924
11/2/2016,27.89749908,39.42100143,59.43000031
11/3/2016,27.45750046,39.10950089,59.20999908
11/4/2016,27.20999908,39.05500031,58.70999908
11/7/2016,27.60250092,40.10150146,60.41999817
11/8/2016,27.76499939,40.59899902,60.47000122
11/9/2016,27.71999931,40.27949905,60.16999817
11/10/2016,26.94750023,39.01449966,58.70000076
11/11/2016,27.10750008,38.58750153,59.02000046
11/14/2016,26.42749977,37.6609993,58.11999893
11/15/2016,26.77750015,38.75799942,58.86999893
11/16/2016,27.49749947,38.99900055,59.65000153
11/17/2016,27.48749924,39.30799866,60.63999939
11/18/2016,27.51499939,38.79850006,60.34999847
11/21/2016,27.93250084,39.24000168,60.86000061
11/22/2016,27.95000076,39.25,61.11999893
11/23/2016,27.80750084,38.95000076,60.40000153
11/25/2016,27.94750023,39.01150131,60.52999878
11/28/2016,27.89249992,39.28950119,60.61000061
11/29/2016,27.86499977,39.47200012,61.09000015
11/30/2016,27.62999916,38.79399872,60.25999832
12/1/2016,27.37249947,38.21649933,59.20000076
12/2/2016,27.47500038,38.22299957,59.25
12/5/2016,27.27750015,38.9109993,60.22000122
12/6/2016,27.48749924,38.80899811,59.95000076
12/7/2016,27.75749969,39.57350159,61.36999893
12/8/2016,28.03000069,39.75849915,61.00999832
12/9/2016,28.48749924,40.47249985,61.97000122
12/12/2016,28.32500076,40.39500046,62.16999817
12/13/2016,28.79750061,40.76699829,62.97999954
12/14/2016,28.79750061,40.89450073,62.68000031
12/15/2016,28.95499992,40.78250122,62.58000183
12/16/2016,28.99250031,40.49200058,62.29999924
12/19/2016,29.15999985,40.625,63.61999893
12/20/2016,29.23749924,40.75999832,63.54000092
12/21/2016,29.26499939,40.61000061,63.54000092
12/22/2016,29.07250023,40.48400116,63.54999924
12/23/2016,29.12999916,40.38999939,63.24000168
12/27/2016,29.31500053,40.49649811,63.27999878
12/28/2016,29.19000053,40.22850037,62.99000168
12/29/2016,29.18250084,40.14400101,62.90000153
12/30/2016,28.95499992,39.62250137,62.13999939
1/3/2017,29.03750038,40.40050125,62.58000183
1/4/2017,29.00499916,40.38850021,62.29999924
1/5/2017,29.15250015,40.65100098,62.29999924
1/6/2017,29.47750092,41.26050186,62.84000015
1/9/2017,29.74749947,41.35900116,62.63999939
1/10/2017,29.77750015,41.30049896,62.61999893
1/11/2017,29.9375,41.49300003,63.18999863
1/12/2017,29.8125,41.47650146,62.61000061
1/13/2017,29.76000023,41.54700089,62.70000076
1/17/2017,30,41.3730011,62.52999878
1/18/2017,29.99749947,41.45100021,62.5
1/19/2017,29.94499969,41.21849823,62.29999924
1/20/2017,30,41.40850067,62.74000168
1/23/2017,30.02000046,42.2215004,62.95999908
1/24/2017,29.99250031,42.47650146,63.52000046
1/25/2017,30.46999931,42.92250061,63.68000031
1/26/2017,30.48500061,42.84899902,64.26999664
1/27/2017,30.48749924,42.25149918,65.77999878
1/30/2017,30.40749931,41.19150162,65.12999725
1/31/2017,30.33749962,41.0094986,64.65000153
2/1/2017,32.1875,40.76200104,63.58000183
2/2/2017,32.13249969,40.9129982,63.16999817
2/3/2017,32.27000046,41.00650024,63.68000031
2/6/2017,32.57249832,41.08100128,63.63999939
2/7/2017,32.88249969,41.46149826,63.43000031
2/8/2017,33.00999832,41.49399948,63.34000015
2/9/2017,33.10499954,41.50299835,64.05999756
2/10/2017,33.02999878,41.74250031,64
2/13/2017,33.32249832,41.94800186,64.72000122
2/14/2017,33.75500107,42.00149918,64.56999969
2/15/2017,33.87749863,41.86600113,64.52999878
2/16/2017,33.83750153,42.10850143,64.51999664
2/17/2017,33.93000031,42.32749939,64.62000275
2/21/2017,34.17499924,42.46350098,64.48999786
2/22/2017,34.27750015,42.56800079,64.36000061
2/23/2017,34.13249969,42.54999924,64.62000275
2/24/2017,34.16500092,42.39049911,64.62000275
2/27/2017,34.23249817,42.48350143,64.23000336
2/28/2017,34.24750137,42.24649811,63.97999954
3/1/2017,34.94749832,42.83750153,64.94000244
3/2/2017,34.74000168,42.49250031,64.01000214
3/3/2017,34.94499969,42.45399857,64.25
3/6/2017,34.83499908,42.36349869,64.26999664
3/7/2017,34.88000107,42.55749893,64.40000153
3/8/2017,34.75,42.68199921,64.98999786
3/9/2017,34.66999817,42.89199829,64.73000336
3/10/2017,34.78499985,43.07049942,64.93000031
3/13/2017,34.79999924,43.22900009,64.70999908
3/14/2017,34.74750137,43.29550171,64.41000366
3/15/2017,35.11500168,43.41949844,64.75
3/16/2017,35.17250061,43.5,64.63999939
3/17/2017,34.99750137,43.61849976,64.87000275
3/20/2017,35.36500168,43.39550018,64.93000031
3/21/2017,34.95999908,42.50699997,64.20999908
3/22/2017,35.35499954,42.49000168,65.02999878
3/23/2017,35.22999954,41.98249817,64.87000275
3/24/2017,35.15999985,41.75699997,64.98000336
3/27/2017,35.22000122,41.92549896,65.09999847
